nom_original,noms_unifie
Épinois,Epinois
Épinois,Épinois
Eppegem,Eppeghem
Eppegem,Zemst (Eppegem)
Eppegem,Eppegem
Éprave,Éprave
Éprave,Rochefort (Éprave)
Éprave,Rochefort (Eprave)
Éprave,Eprave
Erbaut,Erbaut
Erbisœul,Erbisœul
Erbisœul,Erbisoeul
Ère,Ere
Ère,Ère
Erembodegem,Erembodegem
ÉREZÉE,Ereze
ÉREZÉE,اروزه
ÉREZÉE,Erezée
ÉREZÉE,Ehreze
ÉREZÉE,Ерезе
ÉREZÉE,Érezée
ÉREZÉE,Erezeye
ÉREZÉE,Erezêye
ÉREZÉE,Erezee
ÉREZÉE,Эрезе
ÉREZÉE,arwzh
ÉREZÉE,ÉREZÉE
ÉREZÉE,ai er ze
ÉREZÉE,埃尔泽
Ermeton-sur-Biert,Ermeton-sur-Biert
Ermeton-sur-Biert,Mettet (Ermeton-sur-Biert)
Ernage,Gembloux (Ernage)
Ernage,Ernage
Erneuville,Erneuville
Ernonheid,Ernonheid
Ernonheid,Aywaille (Ernonheid)
Erondegem,Erondegem
Erpe,Erpe
ERPE-MERE,Erpe-Mere
ERPE-MERE,ERPE-MERE
Erpent,Namur (Erpent)
Erpent,Erpent
Erpion,Erpion
Erps-Kwerps,Erps-Kwerps
Erps-Kwerps,Kortenberg (Erps-Kwerps)
Erps-Kwerps,Erps-Querbs
ERQUELINNES,ارکولین
ERQUELINNES,ERQUELINNES
ERQUELINNES,Erkelin
ERQUELINNES,arkwlyn
ERQUELINNES,Эркелин
ERQUELINNES,Еркелин
ERQUELINNES,Erquelinnes
ERQUELINNES,Ehrkelin
Erquennes,Erquennes
Ertvelde,Ertvelde
Erwetegem,Erwetegem
Escanaffles,Escanaffles
Esen,Eessen
Esen,Esen
Esen,Eesen
ESNEUX,En'o
ESNEUX,Еньо
ESNEUX,Энё
ESNEUX,Esneu
ESNEUX,Esneux vald
ESNEUX,asnw
ESNEUX,ai si ne
ESNEUX,اسنو
ESNEUX,ESNEUX
ESNEUX,Ehnjo
ESNEUX,埃斯讷
ESNEUX,Esneux
Esplechin,Esplechin
Esquelmes,Esquelmes
ESSEN,埃森
ESSEN,اسان
ESSEN,에선
ESSEN,Essen
ESSEN,asan
ESSEN,eseon
ESSEN,Esen
ESSEN,إيسن، بلجيكا
ESSEN,ai sen
ESSEN,aysn  bljyka
ESSEN,Esschen
ESSEN,ESSEN
ESSEN,Есен
Essene,Esschene
Essene,Essene
Estaimbourg,Estaimbourg
ESTAIMPUIS,Estaimpuis
ESTAIMPUIS,استمپویی
ESTAIMPUIS,Steenput
ESTAIMPUIS,Estempjui
ESTAIMPUIS,Эстемпюи
ESTAIMPUIS,astmpwyy
ESTAIMPUIS,ESTAIMPUIS
ESTAIMPUIS,Ehstempjui
ESTAIMPUIS,Естемпюи
ESTAIMPUIS,Timpu
ESTINNES,Estinnes
ESTINNES,ESTINNES
Estinnes-au-Mont,Estinnes-au-Mont
Estinnes-au-Val,Estinnes-au-Val
ÉTALLE,Étalle
ÉTALLE,ai ta er
ÉTALLE,Етал
ÉTALLE,ÉTALLE
ÉTALLE,Ehtal'
ÉTALLE,اتل
ÉTALLE,埃塔尔
ÉTALLE,atl
ÉTALLE,Etal
ÉTALLE,Эталь
ÉTALLE,Etalle
Èthe,Virton (Ethe)
Èthe,Virton (Éthe)
Èthe,Éthe
Èthe,Ethe
Èthe,Èthe
Etikhove,Etikhove
Etikhove,Etichove
Ettelgem,Ettelghem
Ettelgem,Ettelgem
ETTERBEEK,Etermpeek
ETTERBEEK,Etterbeek
ETTERBEEK,eteleubeikeu
ETTERBEEK,埃特尔贝克
ETTERBEEK,eterubeku
ETTERBEEK,Bruxelles (Etterbeek)
ETTERBEEK,Эттербек
ETTERBEEK,Етербек
ETTERBEEK,Eterbek
ETTERBEEK,Еттербек
ETTERBEEK,ایتربیئک
ETTERBEEK,エテルベーク
ETTERBEEK,Etterbek
ETTERBEEK,에테르베이크
ETTERBEEK,Ehtterbek
ETTERBEEK,aytrbyk
ETTERBEEK,aytrbyyk
ETTERBEEK,ETTERBEEK
ETTERBEEK,ai te er bei ke
ETTERBEEK,Brussel (Etterbeek)
ETTERBEEK,Έτερμπεεκ
ETTERBEEK,إيتربيك
ETTERBEEK,Ietrebecca
Eugies,Eugies
Eugies,Eugies
Eugies,Eugies
EUPEN,Eypen
EUPEN,Горад Эйпен
EUPEN,Էյպեն
EUPEN,Neyaw
EUPEN,オイペン
EUPEN,Ejpen
EUPEN,Eupen
EUPEN,오이펜
EUPEN,Neyåw
EUPEN,奥伊彭
EUPEN,Gorad Ehjpen
EUPEN,Epen
EUPEN,ao yi peng
EUPEN,Епен
EUPEN,Ehjpen
EUPEN,Ейпен
EUPEN,Eupe
EUPEN,awpan
EUPEN,Néau
EUPEN,Ойпен
EUPEN,Эйпен
EUPEN,Neau
EUPEN,oipen
EUPEN,Ojpen
EUPEN,اوپان
EUPEN,EUPEN
EUPEN,Epenas
Évegnée,Evegnee
Évegnée,Évegnée
Évegnée-Tignée,Evegnee-Tignee
Évegnée-Tignée,Évegnée-Tignée
Évelette,Évelette
Évelette,Evelette
Everbeek,Everbecq
Everbeek,Everbeek
Everberg,Everberg
EVERE,ebeleo
EVERE,evu~ere
EVERE,에베러
EVERE,Евер
EVERE,Evere
EVERE,Gemeente Evere
EVERE,اور
EVERE,Bruxelles (Evere)
EVERE,Ehvere
EVERE,エヴェレ
EVERE,Brussel (Evere)
EVERE,ai wei lei
EVERE,Евере
EVERE,埃韦勒
EVERE,EVERE
EVERE,Эвере
EVERE,Commune d'Evere
EVERE,awr
EVERE,Commune d’Evere
EVERE,Ever
EVERGEM,ایورژم
EVERGEM,EVERGEM
EVERGEM,Everghem Rabot
EVERGEM,Eversem
EVERGEM,埃弗海姆
EVERGEM,aywrzhm
EVERGEM,Ehvergem
EVERGEM,Эвергем
EVERGEM,ai fu hai mu
EVERGEM,Евергем
EVERGEM,Evergem
Évregnies,Évregnies
Évregnies,Evregnies
Évrehailles,Evrehailles
Évrehailles,Évrehailles
Évrehailles,Yvoir (Evrehailles)
Eynatten,Eynatten
Eynatten,Raeren (Eynatten)
Ezemaal,Ezemaal
Ezemaal,Esemael
Fagnolle,Philippeville (Fagnolle)
Fagnolle,Fagnolle
FAIMES,فیمیس
FAIMES,fymys
FAIMES,fei mu
FAIMES,فم
FAIMES,FAIMES
FAIMES,Faimes
FAIMES,fm
FAIMES,Фем
FAIMES,费姆
FAIMES,Fem
Falaën,Onhaye (Falaen)
Falaën,Onhaye (Falaën)
Falaën,Falaen
Falaën,Falaën
Falisolle,Sambreville (Falisolle)
Falisolle,Falisolle
Fallais,Fallais
Falmagne,Falmagne
Falmignoul,Dinant (Falmignoul)
Falmignoul,Falmignoul
Familleureux,Familleureux
FARCIENNES,Farsien
FARCIENNES,فرسیئن
FARCIENNES,Fars'en
FARCIENNES,Fårcene
FARCIENNES,Farciennes
FARCIENNES,Фарсиен
FARCIENNES,Фарсьен
FARCIENNES,frsyyn
FARCIENNES,Farcene
FARCIENNES,FARCIENNES
Faulx-les-Tombes,Faulx-les-Tombes
Faulx-les-Tombes,Gesves (Faulx-Les Tombes)
Faulx-les-Tombes,Faulx-Les Tombes
Faurœulx,Fauroeulx
Faurœulx,Faurœulx
FAUVILLERS,fwwyh
FAUVILLERS,Фовиерс
FAUVILLERS,Фовилле
FAUVILLERS,Fauvillers
FAUVILLERS,Foviers
FAUVILLERS,Faeteler
FAUVILLERS,福维莱尔
FAUVILLERS,Foville
FAUVILLERS,فوویه
FAUVILLERS,FAUVILLERS
FAUVILLERS,fu wei lai er
FAUVILLERS,Faiviè
FAUVILLERS,Feitweiler
FAUVILLERS,Fäteler
FAUVILLERS,Faivie
Faymonville,Faymonville
Faymonville,Waimes (Faymonville)
Fays-les-Veneurs,Fays-les-Veneurs
Fayt-le-Franc,Fayt-le-Franc
Fayt-lez-Manage,Fayt-lez-Manage
Fayt-lez-Manage,Fayt
Fayt-lez-Manage,Fayt-lez-Seneffe
Felenne,Felenne
Felenne,Beauraing (Felenne)
Feluy,Feluy
Feneur,Feneur
Feneur,Dalhem (Feneur)
FERNELMONT,Fernelmon
FERNELMONT,Fernel'mon
FERNELMONT,费尔内尔蒙
FERNELMONT,Ferneamont
FERNELMONT,fei er nei er meng
FERNELMONT,FERNELMONT
FERNELMONT,فرنلمون
FERNELMONT,Fernelmont
FERNELMONT,frnlmwn
FERNELMONT,Фернелмон
FERNELMONT,Фернельмон
FERRIÈRES,Forrière
FERRIÈRES,Ferrieres
FERRIÈRES,FERRIÈRES
FERRIÈRES,Ferrière
FERRIÈRES,Ferriere
FERRIÈRES,Ferrières
FERRIÈRES,Forriere
Feschaux,Feschaux
FEXHE-LE-HAUT-CLOCHER,Фекс льо О Клоше
FEXHE-LE-HAUT-CLOCHER,Fexhe-a-Hot-Cloki
FEXHE-LE-HAUT-CLOCHER,Feks l'o O Kloshe
FEXHE-LE-HAUT-CLOCHER,فکس-لو-کلوشه
FEXHE-LE-HAUT-CLOCHER,Фекс-ле-О-Клоше
FEXHE-LE-HAUT-CLOCHER,费克泽勒奥克洛谢
FEXHE-LE-HAUT-CLOCHER,fei ke ze lei ao ke luo xie
FEXHE-LE-HAUT-CLOCHER,FEXHE-LE-HAUT-CLOCHER
FEXHE-LE-HAUT-CLOCHER,Fexhe-å-Hôt-Clokî
FEXHE-LE-HAUT-CLOCHER,fks-lw-klwshh
FEXHE-LE-HAUT-CLOCHER,Fexhe-le-Haut-Clocher
FEXHE-LE-HAUT-CLOCHER,Feks-le-O-Kloshe
Fexhe-Slins,Fexhe-les Slins
Fexhe-Slins,Fexhe-Slins
Fexhe-Slins,Fexhe
Fexhe-Slins,Juprelle (Fexhe-Slins)
Fexhe-Slins,Fexhe-lez-Slins
Filot,Filot
Finnevaux,Finnevaux
Fize-Fontaine,Fize-Fontaine
Fize-le-Marsal,Fize-le-Marsal
Fize-le-Marsal,Crisnee (Fize-le-Marsal)
Fize-le-Marsal,Crisnée (Fize-le-Marsal)
Flamierge,Bastogne (Flamierge)
Flamierge,Flamierge
Flavion,Flavion
Flavion,Florennes (Flavion)
Flawinne,Namur (Flawinne)
Flawinne,Flawinne
FLÉMALLE,Флемаль
FLÉMALLE,Флемал
FLÉMALLE,Flemalle
FLÉMALLE,FLÉMALLE
FLÉMALLE,Flemale
FLÉMALLE,Flemal
FLÉMALLE,fu lai ma lei
FLÉMALLE,Flemal'
FLÉMALLE,فلمل
FLÉMALLE,Flémåle
FLÉMALLE,Flémalle
FLÉMALLE,flml
FLÉMALLE,弗莱马勒
Flémalle-Grande,Flémalle-Grande
Flémalle-Grande,Flémalle (Flémalle-Grande)
Flémalle-Grande,Flemalle-Grande
Flémalle-Grande,Flemalle (Flemalle-Grande)
Flémalle-Haute,Flémalle (Flémalle-Haute)
Flémalle-Haute,Flemalle (Flemalle-Haute)
Flémalle-Haute,Flemalle-Haute
Flémalle-Haute,Flémalle-Haute
Flénu,Flénu
Flénu,Flenu
FLÉRON,FLÉRON
FLÉRON,fu lai long
FLÉRON,flrwn
FLÉRON,Fleron
FLÉRON,Флерон
FLÉRON,弗莱龙
FLÉRON,فلرون
FLÉRON,Fléron
FLEURUS,Фльорюс
FLEURUS,FLEURUS
FLEURUS,fururyusu
FLEURUS,Flerus
FLEURUS,flwrw
FLEURUS,Fljorjus
FLEURUS,Флерус
FLEURUS,플뢰뤼스
FLEURUS,Флёрюс
FLEURUS,Fleuru
FLEURUS,فلورو
FLEURUS,peulloelwiseu
FLEURUS,Fl'orjus
FLEURUS,フルーリュス
FLEURUS,Fleurus
FLOBECQ,Flobecq
FLOBECQ,Vloesberg
FLOBECQ,http://en.wikipedia.org/wiki/Flobecq
FLOBECQ,FLOBECQ
Flône,Flone
Flône,Flône
Florée,Floree
Florée,Assesse (Floree)
Florée,Assesse (Florée)
Florée,Florée
FLOREFFE,Floref
FLOREFFE,Флореф
FLOREFFE,flwrf
FLOREFFE,فلورف
FLOREFFE,FLOREFFE
FLOREFFE,fu luo lei fu
FLOREFFE,Florefe
FLOREFFE,Floreffe
FLOREFFE,弗洛雷夫
FLORENNES,fu luo lei ne
FLORENNES,FLORENNES
FLORENNES,Florene
FLORENNES,弗洛雷讷
FLORENNES,فلورن
FLORENNES,Floren
FLORENNES,flwrn
FLORENNES,Флорен
FLORENNES,Florennes
FLORENVILLE,flwran wyl
FLORENVILLE,Florenville
FLORENVILLE,fu luo lang wei er
FLORENVILLE,Флоранвиль
FLORENVILLE,فلوران ویل
FLORENVILLE,Флоранвил
FLORENVILLE,Floravile
FLORENVILLE,弗洛朗维尔
FLORENVILLE,FLORENVILLE
FLORENVILLE,Floranvil'
FLORENVILLE,Floranvil
Floriffoux,Floriffoux
Floriffoux,Floreffe (Floriffoux)
Flostoy,Flostoy
Focant,Focant
Folx-les-Caves,Folx-les-Caves
FONTAINE-L’ÉVÊQUE,Fontaine-l'Eveque
FONTAINE-L’ÉVÊQUE,FONTAINE-L’ÉVÊQUE
FONTAINE-L’ÉVÊQUE,Fontaine-l'Évêque
FONTAINE-L’ÉVÊQUE,Fontaine-l’Évêque
Fontaine-Valmont,Fontaine-Valmont
Fontenelle,Fontenelle
Fontenelle,La Fontenelle Ruisseau
Fontenoille,Fontenoile
Fontenoille,Fontenoille
Fontenoy,Fontenoy
Fooz,Awans (Fooz)
Fooz,Fooz
Forchies-la-Marche,Forchies-la-Marche
Forchies-la-Marche,Fontaine-l'Évêque (Forchies-la-Marche)
Forchies-la-Marche,Fontaine-l'Eveque (Forchies-la-Marche)
FOREST,foresuto
FOREST,Bruxelles (Forest)
FOREST,Forest/Vorst
FOREST,포레
FOREST,Форест
FOREST,福雷
FOREST,Brussel (Vorst)
FOREST,Vorst
FOREST,pole
FOREST,فوره
FOREST,Forest-Vorst
FOREST,FOREST
FOREST,fu lei
FOREST,fwrh
FOREST,Forest
FOREST,フォレスト
FOREST,Fore
FOREST,Форе
Forest (Hainaut),foresuto
Forest (Hainaut),Bruxelles (Forest)
Forest (Hainaut),Forest/Vorst
Forest (Hainaut),포레
Forest (Hainaut),Форест
Forest (Hainaut),福雷
Forest (Hainaut),Brussel (Vorst)
Forest (Hainaut),Vorst
Forest (Hainaut),pole
Forest (Hainaut),فوره
Forest (Hainaut),Forest (Hainaut)
Forest (Hainaut),Forest-Vorst
Forest (Hainaut),fu lei
Forest (Hainaut),fwrh
Forest (Hainaut),Forest
Forest (Hainaut),フォレスト
Forest (Hainaut),Fore
Forest (Hainaut),Форе
Forêt,Forêt
Forêt,Foret
Forge-Philippe,Momignies (Forge-Philippe)
Forge-Philippe,Forge-Philippe
Forges,Forges
Forges,Chimay (Forges)
Forrières,Forrieres
Forrières,Forrières
Forville,Fernelmont (Forville)
Forville,Forville
Fosse,Fosse
Fosse,Trois-Ponts (Fosse)
FOSSES-LA-VILLE,fu si cheng
FOSSES-LA-VILLE,Fosse-li-Veye
FOSSES-LA-VILLE,Fos la Vil
FOSSES-LA-VILLE,Fosses-la-Ville
FOSSES-LA-VILLE,Фос-ла-Виль
FOSSES-LA-VILLE,FOSSES-LA-VILLE
FOSSES-LA-VILLE,Fosse-la-Ville
FOSSES-LA-VILLE,福斯城
FOSSES-LA-VILLE,Фос ла Вил
FOSSES-LA-VILLE,فس لویل
FOSSES-LA-VILLE,Fos-la-Vil'
FOSSES-LA-VILLE,fs lwyl
Fouleng,Fouleng
Fourbechies,Fourbechies
Fourbechies,Froidchapelle (Fourbechies)
Foy-Notre-Dame,Notre-Dame-de-Foy
Foy-Notre-Dame,Foy-Notre-Dame
Fraipont,Trooz (Fraipont)
Fraipont,Fraipont
Fraire,Fraire
Fraiture,Fraiture
Fraiture,Tinlot (Fraiture)
FRAMERIES,Framrie
FRAMERIES,Фрамери
FRAMERIES,Frameris
FRAMERIES,FRAMERIES
FRAMERIES,Frameri
FRAMERIES,frmwrh
FRAMERIES,Фрамерис
FRAMERIES,فرموره
FRAMERIES,Framriye
FRAMERIES,Frameries
Framont,Framont
Franchimont,Franchimont
Francorchamps,Francorchamps
Franc-Waret,Fernelmont (Franc-Waret)
Franc-Waret,Franc-Waret
Franière,Franiere
Franière,Franière
Frasnes,Frasnes-lez-Couvin
Frasnes,Frasnes
Frasnes,Couvin (Frasnes)
FRASNES-LEZ-ANVAING,فرازن-له-آنون
FRASNES-LEZ-ANVAING,Frasnes-lez-Anvaing
FRASNES-LEZ-ANVAING,frazn-lh-anwn
FRASNES-LEZ-ANVAING,Fraine-dile-Anvegn
FRASNES-LEZ-ANVAING,Fran-lez-Anven
FRASNES-LEZ-ANVAING,Frasnes-lez-Buissenal
FRASNES-LEZ-ANVAING,Fran lez Anven
FRASNES-LEZ-ANVAING,FRASNES-LEZ-ANVAING
FRASNES-LEZ-ANVAING,Фран лез Анвен
FRASNES-LEZ-ANVAING,Фран-лез-Анвен
FRASNES-LEZ-ANVAING,Fraine-dilé-Anvegn
Frasnes-lez-Buissenal,فرازن-له-آنون
Frasnes-lez-Buissenal,Frasnes-lez-Anvaing
Frasnes-lez-Buissenal,frazn-lh-anwn
Frasnes-lez-Buissenal,Fraine-dile-Anvegn
Frasnes-lez-Buissenal,Fran-lez-Anven
Frasnes-lez-Buissenal,Frasnes-lez-Buissenal
Frasnes-lez-Buissenal,Fran lez Anven
Frasnes-lez-Buissenal,Фран лез Анвен
Frasnes-lez-Buissenal,Фран-лез-Анвен
Frasnes-lez-Buissenal,Fraine-dilé-Anvegn
Frasnes-lez-Gosselies,Frasnes-lez-Gosselies
Freloux,Fexhe-le-Haut-Clocher (Freloux)
Freloux,Freloux
Freux,Freux
FROIDCHAPELLE,Fruashapel'
FROIDCHAPELLE,Froidchapelle
FROIDCHAPELLE,Фруашапель
FROIDCHAPELLE,Froid-Chapelle
FROIDCHAPELLE,frwadshpl
FROIDCHAPELLE,فروآدشپل
FROIDCHAPELLE,Froashapel
FROIDCHAPELLE,FROIDCHAPELLE
FROIDCHAPELLE,Фроашапел
Froidfontaine,Gedinne (Froidfontaine)
Froidfontaine,Froidfontaine
Froidmont,Froidmont
Fronville,Fronville
Froyennes,Froyennes
Fumal,Fumal
Fumal,Braives (Fumal)
Furfooz,Furfooz
Furnaux,Furnaux
Furnaux,Mettet (Furnaux)
Gaasbeek,Гаасбек
Gaasbeek,Gaasbek
Gaasbeek,Gaasbeek
Gaasbeek,Lennik (Gaasbeek)
Gages,Gages
Gallaix,Gallaix
GALMAARDEN,Galmaarden
GALMAARDEN,Gammerages
GALMAARDEN,GALMAARDEN
GANSHOREN,Гансгорен
GANSHOREN,ガンショアン
GANSHOREN,Gansgoren
GANSHOREN,ganshoan
GANSHOREN,Commune de Ganshoren
GANSHOREN,강소랑
GANSHOREN,Gemeente Ganshoren
GANSHOREN,ganshwran
GANSHOREN,Bruxelles (Ganshoren)
GANSHOREN,Ganshoren
GANSHOREN,Brussel (Ganshoren)
GANSHOREN,han si huo lun
GANSHOREN,gangsolang
GANSHOREN,Гансхорен
GANSHOREN,Ganskhoren
GANSHOREN,汉斯霍伦
GANSHOREN,گانشوران
GANSHOREN,GANSHOREN
Gaurain-Ramecroix,Gaurain-Ramecroix
GAVERE,گور
GAVERE,gwr
GAVERE,ha fu er
GAVERE,GAVERE
GAVERE,Gavere
GAVERE,Гавере
GAVERE,哈弗尔
GEDINNE,Djedene
GEDINNE,zhwdyn
GEDINNE,re di ne
GEDINNE,热迪讷
GEDINNE,Gedinne
GEDINNE,ژودین
GEDINNE,Жедин
GEDINNE,GEDINNE
GEDINNE,Zhedin
GEEL,Gelis
GEEL,Геел
GEEL,헤일
GEEL,Geel
GEEL,GEEL
GEEL,ژل
GEEL,Gel
GEEL,heil
GEEL,heru
GEEL,Gheel
GEEL,Гел
GEEL,he er
GEEL,赫尔
GEEL,ヘール
GEEL,zhl
GEER,Zheer
GEER,Жеер
GEER,基尔
GEER,Djer
GEER,Geer
GEER,GEER
GEER,ji er
GEER,zhh
GEER,ژه
Geest-Gérompont-Petit-Rosière,Ramillies (Geest-Gerompont-Petit-Rosiere)
Geest-Gérompont-Petit-Rosière,Geest-Gerompont-Petit-Rosiere
Geest-Gérompont-Petit-Rosière,Ramillies (Geest-Gérompont-Petit-Rosière)
Geest-Gérompont-Petit-Rosière,Geest-Gérompont-Petit-Rosière
GEETBETS,GEETBETS
GEETBETS,Geetbets
GEETBETS,Geet Betz
Gelbressée,Namur (Gelbressée)
Gelbressée,Gelbressee
Gelbressée,Gelbressée
Gelbressée,Namur (Gelbressee)
Gelinden,Gelinden
Gellik,Gellik
Gellik,Gellick
Gellik,Lanaken (Gellik)
Gelmen,Grande-Jamine
Gelmen,Gelmen
Gelmen,Groot-Gelmen
Gelrode,Aarschot (Gelrode)
Gelrode,Gelrode
Geluveld,Gheluvelt
Geluveld,Geluveld
Geluwe,Geluwe
Geluwe,Gheluwe
Gembes,Gembes
GEMBLOUX,ジャンブルー
GEMBLOUX,Zhamblu
GEMBLOUX,rang bu lu
GEMBLOUX,Gemblua
GEMBLOUX,jangbeullu
GEMBLOUX,Gembloers
GEMBLOUX,zhamblw
GEMBLOUX,Гемблуа
GEMBLOUX,Djiblou
GEMBLOUX,ژامبلو
GEMBLOUX,Jembloux
GEMBLOUX,Žamblu
GEMBLOUX,GEMBLOUX
GEMBLOUX,Gembloux
GEMBLOUX,Geminiacum
GEMBLOUX,janburu
GEMBLOUX,Zamblu
GEMBLOUX,Жамблу
GEMBLOUX,장블루
GEMBLOUX,让布卢
Gemmenich,Gemmenich
GENAPPE,Genepiën
GENAPPE,Женап
GENAPPE,re na pu
GENAPPE,Genepien
GENAPPE,GENAPPE
GENAPPE,zhnp
GENAPPE,ژنپ
GENAPPE,Genappe
GENAPPE,Zhenap
GENAPPE,Djinape
GENAPPE,热纳普
GENK,Genck
GENK,hengkeu
GENK,خنک
GENK,Genkas
GENK,khe ngk
GENK,khnk
GENK,ヘンク
GENK,헹크
GENK,เคงก์
GENK,亨克
GENK,henku
GENK,Генк
GENK,გენკი
GENK,Genk
GENK,heng ke
GENK,EBZW
GENK,GENK
GENK,جينك
GENK,jynk
Genly,Genly
Genoelselderen,Genoelselderen
GENT,Gent
GENT,shhrstan gan
GENT,شهرستان گان
GENT,Gent
GENT,GENT
GENT,Gand
GENT,Huyen Ghent
GENT,Гент
GENT,Bezirk Gent
GENT,Gand
GENT,Gand
GENT,Ghent
GENT,di Gand
GENT,Huyện Ghent
GENT,根特區
GENT,Genti ringkond
GENT,gen te qu
GENT,Arondisamant Gent
Gentbrugge,Gentbrugge
Gentinnes,Chastre (Gentinnes)
Gentinnes,Gentinnes
Genval,Rixensart (Genval)
Genval,Genval
GERAARDSBERGEN,Гераардсберген
GERAARDSBERGEN,Gerardsbergen
GERAARDSBERGEN,Geraardsbergen
GERAARDSBERGEN,Geeraardsbergen
GERAARDSBERGEN,Герардсберген
GERAARDSBERGEN,he la er ci bei heng
GERAARDSBERGEN,赫拉尔兹贝亨
GERAARDSBERGEN,GERAARDSBERGEN
GERAARDSBERGEN,Grammont
GERAARDSBERGEN,ژراردزبرژان
GERAARDSBERGEN,zhrardzbrzhan
Gerdingen,Gerdingen
Gerdingen,Bree (Gerdingen)
Gerin,Gerin
Gerin,Onhaye (Gerin)
Gérompont,Ramillies (Gerompont)
Gérompont,Gerompont
Gérompont,Ramillies (Gérompont)
Gérompont,Gérompont
Gérouville,Gérouville
Gérouville,Gerouville
GERPINNES,Жерпинн
GERPINNES,Zherpinn
GERPINNES,Жерпин
GERPINNES,Djerpene
GERPINNES,Zherpin
GERPINNES,Gerpinnes
GERPINNES,ژرپین
GERPINNES,GERPINNES
GERPINNES,zhrpyn
Gestel,Berlaar (Gestel)
Gestel,Gestel
GESVES,Djeve
GESVES,Gesves
GESVES,ژسو
GESVES,热弗
GESVES,GESVES
GESVES,Zhev
GESVES,re fu
GESVES,zhsw
GESVES,Жев
Ghislenghien,Gellingen
Ghislenghien,Ghislenghien
Ghlin,Ghlin
Ghoy,Ghoy
Gibecq,Gibecq
Gierle,Lille (Gierle)
Gierle,Gierle
Gijverinkhove,Gijverinkhove
Gijverinkhove,Gyverinchove
Gijzegem,Gijzegem
Gijzegem,Gysegem
Gijzelbrechtegem,Gyselbrechteghem
Gijzelbrechtegem,Gijzelbrechtegem
Gijzenzele,Gijzenzele
Gijzenzele,Gysenzeele
Gilly,Djili
Gilly,Charleroi (Gilly)
Gilly,Djilî
Gilly,Gilly
Gimnée,Doische (Gimnee)
Gimnée,Gimnee
Gimnée,Doische (Gimnée)
Gimnée,Gimnée
GINGELOM,Gingelom
GINGELOM,khing khex lom
GINGELOM,欣厄洛姆
GINGELOM,ژنژولوم
GINGELOM,Гингелом
GINGELOM,คิงเคอโลม
GINGELOM,xin e luo mu
GINGELOM,zhnzhwlwm
GINGELOM,Djinglehin
GINGELOM,GINGELOM
GISTEL,ژیستل
GISTEL,zhystl
GISTEL,希斯特尔
GISTEL,xi si te er
GISTEL,Histel
GISTEL,GISTEL
GISTEL,Ghistelles
GISTEL,Гистел
GISTEL,Gistel
Gits,Gits
Givry,Givry
Glabais,Genappe (Glabais)
Glabais,Glabais
GLABBEEK,Glabbeek
GLABBEEK,GLABBEEK
Glabbeek-Zuurbemde,Glabbeek-Suerbempde
Glabbeek-Zuurbemde,Glabbeek
Glabbeek-Zuurbemde,Glabbeek-Zuurbemde
Glain,Glain
Glain,Liege (Glain)
Glain,Liège (Glain)
Gleixhe,Flemalle (Gleixhe)
Gleixhe,Gleixhe
Gleixhe,Flémalle (Gleixhe)
Glimes,Glimes
Glons,Bassenge (Glons)
Glons,Glons
Glons,Glaen
Glons,Glaaien
Gochenée,Doische (Gochenée)
Gochenée,Doische (Gochenee)
Gochenée,Gochenée
Gochenée,Gochenee
Godarville,Godarville
Godinne,Yvoir (Godinne)
Godinne,Godinne
Godveerdegem,Godveerdegem
Godveerdegem,Godverdegem
Goé,Goé
Goé,Goe
Goé,Gulke
Goeferdinge,Goeferdinge
Goeferdinge,Goefferdinge
Goegnies-Chaussée,Goegnies-Chaussée
Goegnies-Chaussée,Gognies-Chaussée
Goegnies-Chaussée,Gœgnies-Chaussée
Goegnies-Chaussée,Gognies-Chaussee
Goegnies-Chaussée,Goegnies-Chaussee
Goesnes,Ohey (Goesnes)
Goesnes,Goesnes
Goetsenhoven,Goetsenhoven
Goetsenhoven,Tienen (Goetsenhoven)
Goetsenhoven,Gossoncourt
Gomzé-Andoumont,Gomze-Andoumont
Gomzé-Andoumont,Gomzé-Andoumont
Gondregnies,Gondregnies
Gonrieux,Couvin (Gonrieux)
Gonrieux,Gonrieux
Gontrode,Gontrode
GOOIK,gwyk
GOOIK,huo yi ke
GOOIK,جويك
GOOIK,GOOIK
GOOIK,Gooik
GOOIK,Goyck
GOOIK,Гойк
GOOIK,Gojk
GOOIK,jwyk
GOOIK,گوئک
GOOIK,霍伊克
Gorsem,Gorsem
Gorsem,Gorssum
Gorsem,Sint-Truiden (Gorsem)
Gors-Opleeuw,Gors-Opleeuw
Gors-Opleeuw,Borgloon (Gors-Opleeuw)
Gosselies,Gosselies
Gosselies,Charleroi (Gosselies)
Gosselies,Gochliye
Gotem,Gotem
Gotem,Gothem
Gotem,Borgloon (Gotem)
Gottem,Gotthem
Gottem,Gottem
Gottignies,Gottignies
Gougnies,Gerpinnes (Gougnies)
Gougnies,Gougnies
Gourdinne,Gourdinne
Goutroux,Charleroi (Goutroux)
Goutroux,Goutroux
GOUVY,gwwy
GOUVY,Guvi
GOUVY,古维
GOUVY,Gouvy
GOUVY,Gouvi
GOUVY,Гуви
GOUVY,gu wei
GOUVY,GOUVY
GOUVY,گووی
Gouy-lez-Piéton,Gouy-lez-Pieton
Gouy-lez-Piéton,Gouy-lez-Piéton
