#,prenoms,Aantal in België,Aantal in Vlaanderen,Aantal in Wallonië,Aantal in Brussel
60912,Kannitha,2,2,0,0
60913,Kamrun,2,2,0,0
60914,Kaminiben,2,2,0,0
60915,Kamani,2,2,0,0
60916,Kalsang,2,2,0,0
60917,Kallaya,2,2,0,0
60918,Kaliyah,2,2,0,0
60919,Kalitsa,2,2,0,0
60920,Kaity,2,2,0,0
60921,Kailyn,2,2,0,0
60922,Kailina,2,2,0,0
60923,Kaile,2,2,0,0
60924,Kahlen,2,2,0,0
60925,Kahin,2,2,0,0
60926,Kaew,2,2,0,0
60927,Kaety,2,2,0,0
60928,Kaelynn,2,2,0,0
60929,Kaely,2,2,0,0
60930,Kaeley,2,2,0,0
60931,Kaeko,2,2,0,0
60932,Kaedy,2,2,0,0
60933,Kadisha,2,2,0,0
60934,Kaday,2,2,0,0
60935,Kachiry,2,2,0,0
60936,Käti,2,2,0,0
60937,Jörgi,2,2,0,0
60938,Jördis,2,2,0,0
60939,Jyrca,2,2,0,0
60940,Jynette,2,2,0,0
60941,Juwell,2,2,0,0
60942,Juwayriyah,2,2,0,0
60943,Juwayriya,2,2,0,0
60944,Jutka,2,2,0,0
60945,Jutah,2,2,0,0
60946,Justiniana,2,2,0,0
60947,Jureeporn,2,2,0,0
60948,Junita,2,2,0,0
60949,Juniper,2,2,0,0
60950,Jung-Mi,2,2,0,0
60951,Junah,2,2,0,0
60952,Julitte,2,2,0,0
60953,Julieke,2,2,0,0
60954,Julie-Elise,2,2,0,0
60955,Juicy,2,2,0,0
60956,Juhani,2,2,0,0
60957,Jufang,2,2,0,0
60958,Judiet,2,2,0,0
60959,Judich,2,2,0,0
60960,Jucilene,2,2,0,0
60961,Juani,2,2,0,0
60962,Jozsa,2,2,0,0
60963,Jozetta,2,2,0,0
60964,Jozefiene,2,2,0,0
60965,Jozefien-Charlotte,2,2,0,0
60966,Joyline,2,2,0,0
60967,Joylien,2,2,0,0
60968,Joylene,2,2,0,0
60969,Joydi,2,2,0,0
60970,Joycie,2,2,0,0
60971,Joyci,2,2,0,0
60972,Jovienne,2,2,0,0
60973,Jovanie,2,2,0,0
60974,Jotty,2,2,0,0
60975,Joshy,2,2,0,0
60976,Joshua,2,2,0,0
60977,Josenilda,2,2,0,0
60978,Josella,2,2,0,0
60979,Joselina,2,2,0,0
60980,Joselia,2,2,0,0
60981,José-Anna,2,2,0,0
60982,Jorünn,2,2,0,0
60983,Jorrit,2,2,0,0
60984,Jorna,2,2,0,0
60985,Jorisa,2,2,0,0
60986,Jorinca,2,2,0,0
60987,Jorga,2,2,0,0
60988,Jordina,2,2,0,0
60989,Jorana,2,2,0,0
60990,Joppe,2,2,0,0
60991,Jooke,2,2,0,0
60992,Jono,2,2,0,0
60993,Jonine,2,2,0,0
60994,Jonia,2,2,0,0
60995,Jongjit,2,2,0,0
60996,Jomi,2,2,0,0
60997,Jolies,2,2,0,0
60998,Jolientje,2,2,0,0
60999,Joliene,2,2,0,0
61000,Johannetta,2,2,0,0
61001,Joes,2,2,0,0
61002,Joeriska,2,2,0,0
61003,Joerika,2,2,0,0
61004,Joerga,2,2,0,0
61005,Joelyn,2,2,0,0
61006,Joels,2,2,0,0
61007,Joelly,2,2,0,0
61008,Joell,2,2,0,0
61009,Jodoca,2,2,0,0
61010,Jochewed,2,2,0,0
61011,Jochemke,2,2,0,0
61012,Jochelyn,2,2,0,0
61013,Jocelyna,2,2,0,0
61014,Jocelien,2,2,0,0
61015,Jobien,2,2,0,0
61016,Joanna-Marie,2,2,0,0
61017,Jo-Lynne,2,2,0,0
61018,Jmaiaä,2,2,0,0
61019,Jiya,2,2,0,0
61020,Jitra,2,2,0,0
61021,Jishi,2,2,0,0
61022,Jira,2,2,0,0
61023,Jippe,2,2,0,0
61024,Jinxia,2,2,0,0
61025,Jinty,2,2,0,0
61026,Jinsy,2,2,0,0
61027,Jinnie,2,2,0,0
61028,Jinmin,2,2,0,0
61029,Jinling,2,2,0,0
61030,Jinky,2,2,0,0
61031,Jini,2,2,0,0
61032,Jingui,2,2,0,0
61033,Jinet,2,2,0,0
61034,Jima,2,2,0,0
61035,Jillie,2,2,0,0
61036,Jilca,2,2,0,0
61037,Jikkemien,2,2,0,0
61038,Jihain,2,2,0,0
61039,Jieske,2,2,0,0
61040,Jiersel,2,2,0,0
61041,Jibbe,2,2,0,0
61042,Jiayu,2,2,0,0
61043,Jiani,2,2,0,0
61044,Jhonny,2,2,0,0
61045,Jhonia,2,2,0,0
61046,Jhona,2,2,0,0
61047,Jhelisa,2,2,0,0
61048,Jharna,2,2,0,0
61049,Jetskalina,2,2,0,0
61050,Jetmire,2,2,0,0
61051,Jessina,2,2,0,0
61052,Jessieca,2,2,0,0
61053,Jesje,2,2,0,0
61054,Jesenia,2,2,0,0
61055,Jesamine,2,2,0,0
61056,Jermina,2,2,0,0
61057,Jerissa,2,2,0,0
61058,Jerilyn,2,2,0,0
61059,Jerifa,2,2,0,0
61060,Jeresa,2,2,0,0
61061,Jeremiah,2,2,0,0
61062,Jerelyn,2,2,0,0
61063,Jerel,2,2,0,0
61064,Jerda,2,2,0,0
61065,Jent'l,2,2,0,0
61066,Jensey,2,2,0,0
61067,Jenny-Marie,2,2,0,0
61068,Jennetta,2,2,0,0
61069,Jennesy,2,2,0,0
61070,Jennegien,2,2,0,0
61071,Jenis,2,2,0,0
61072,Jenine,2,2,0,0
61073,Jenilyn,2,2,0,0
61074,Jenie,2,2,0,0
61075,Jenecy,2,2,0,0
61076,Jenat,2,2,0,0
61077,Jenalyn,2,2,0,0
61078,Jenah,2,2,0,0
61079,Jemke,2,2,0,0
61080,Jemia,2,2,0,0
61081,Jemi,2,2,0,0
61082,Jelyssa,2,2,0,0
61083,Jelysa,2,2,0,0
61084,Jelyna,2,2,0,0
61085,Jelycia,2,2,0,0
61086,Jeltse,2,2,0,0
61087,Jelsy,2,2,0,0
61088,Jelsi,2,2,0,0
61089,Jelmer,2,2,0,0
61090,Jellisa,2,2,0,0
61091,Jellen,2,2,0,0
61092,Jelinke,2,2,0,0
61093,Jelijn,2,2,0,0
61094,Jelie,2,2,0,0
61095,Jelenka,2,2,0,0
61096,Jelca,2,2,0,0
61097,Jehudith,2,2,0,0
61098,Jehone,2,2,0,0
61099,Jehny,2,2,0,0
61100,Jefta,2,2,0,0
61101,Jeeranun,2,2,0,0
61102,Jeau,2,2,0,0
61103,Jeaqueline,2,2,0,0
61104,Jeannou,2,2,0,0
61105,Jeannitta,2,2,0,0
61106,Jeannij,2,2,0,0
61107,Jeannenine,2,2,0,0
61108,Jeaneth,2,2,0,0
61109,Jean-Marie,2,2,0,0
61110,Jaymini,2,2,0,0
61111,Jaylinn,2,2,0,0
61112,Jaylee,2,2,0,0
61113,Jaycie,2,2,0,0
61114,Javina,2,2,0,0
61115,Java,2,2,0,0
61116,Jauke,2,2,0,0
61117,Jati,2,2,0,0
61118,Jasparine,2,2,0,0
61119,Jasorou,2,2,0,0
61120,Jasmijntje,2,2,0,0
61121,Jasmiene,2,2,0,0
61122,Jasmen,2,2,0,0
61123,Jaslynn,2,2,0,0
61124,Jasjit,2,2,0,0
61125,Jasina,2,2,0,0
61126,Jasamin,2,2,0,0
61127,Jarline,2,2,0,0
61128,Jarina,2,2,0,0
61129,Jarien,2,2,0,0
61130,Jarca,2,2,0,0
61131,Jaquinta,2,2,0,0
61132,Janvi,2,2,0,0
61133,Januska,2,2,0,0
61134,Jantjen,2,2,0,0
61135,Jantinne,2,2,0,0
61136,Jantiena,2,2,0,0
61137,Janthima,2,2,0,0
61138,Jannij,2,2,0,0
61139,Jannice,2,2,0,0
61140,Jannelore,2,2,0,0
61141,Janin,2,2,0,0
61142,Janicka,2,2,0,0
61143,Janhom,2,2,0,0
61144,Janeke,2,2,0,0
61145,Janda,2,2,0,0
61146,Janaya,2,2,0,0
61147,Janao,2,2,0,0
61148,Janaaika,2,2,0,0
61149,Jamnian,2,2,0,0
61150,Jamiena,2,2,0,0
61151,Jamien,2,2,0,0
61152,Jamey,2,2,0,0
61153,Jamecia,2,2,0,0
61154,Jalke,2,2,0,0
61155,Jaliena,2,2,0,0
61156,Jalie,2,2,0,0
61157,Jali,2,2,0,0
61158,Jakomien,2,2,0,0
61159,Jakobine,2,2,0,0
61160,Jakelien,2,2,0,0
61161,Jaitse,2,2,0,0
61162,Jainy,2,2,0,0
61163,Jain,2,2,0,0
61164,Jaimi,2,2,0,0
61165,Jaimey,2,2,0,0
61166,Jaimely,2,2,0,0
61167,Jahmilla,2,2,0,0
61168,Jahel,2,2,0,0
61169,Jagruti,2,2,0,0
61170,Jagienka,2,2,0,0
61171,Jafna,2,2,0,0
61172,Jadranca,2,2,0,0
61173,Jacynta,2,2,0,0
61174,Jacquelline,2,2,0,0
61175,Jacomijna,2,2,0,0
61176,Jacomijn,2,2,0,0
61177,Jacobee,2,2,0,0
61178,Jacklyn,2,2,0,0
61179,Jacklin,2,2,0,0
61180,Jacki,2,2,0,0
61181,Jackelina,2,2,0,0
61182,Jaate,2,2,0,0
61183,Jaarke,2,2,0,0
61184,Jørgi,2,2,0,0
61185,özgü,2,2,0,0
61186,ölva,2,2,0,0
61187,Izzah,2,2,0,0
61188,Izra,2,2,0,0
61189,Izmira,2,2,0,0
61190,Izja,2,2,0,0
61191,Izgi,2,2,0,0
61192,Izaya,2,2,0,0
61193,Izarra,2,2,0,0
61194,Izalie,2,2,0,0
61195,Iye,2,2,0,0
61196,Iyabode,2,2,0,0
61197,Ivis,2,2,0,0
61198,Iven,2,2,0,0
61199,Ive,2,2,0,0
61200,Ivanilde,2,2,0,0
61201,Ivani,2,2,0,0
61202,Istar,2,2,0,0
61203,Istahil,2,2,0,0
61204,Issicha,2,2,0,0
61205,Issabel,2,2,0,0
61206,Ismey,2,2,0,0
61207,Isi,2,2,0,0
61208,Ishani,2,2,0,0
61209,Ishana,2,2,0,0
61210,Isebelle,2,2,0,0
61211,Ischke,2,2,0,0
61212,Isbergues,2,2,0,0
61213,Isbel,2,2,0,0
61214,Isaya,2,2,0,0
61215,Isauline,2,2,0,0
61216,Isar,2,2,0,0
61217,Isanne,2,2,0,0
61218,Isaly,2,2,0,0
61219,Iryael,2,2,0,0
61220,Irya,2,2,0,0
61221,Irshad,2,2,0,0
61222,Irmlinde,2,2,0,0
61223,Irmien,2,2,0,0
61224,Irlinda,2,2,0,0
61225,Irisha,2,2,0,0
61226,Irish,2,2,0,0
61227,Iridée,2,2,0,0
61228,Iranganie,2,2,0,0
61229,Irakoze,2,2,0,0
61230,Iptisem,2,2,0,0
61231,Ipkal,2,2,0,0
61232,Iphygenia,2,2,0,0
61233,Iphigenea,2,2,0,0
61234,Iordanka,2,2,0,0
61235,Ionah,2,2,0,0
61236,Inza,2,2,0,0
61237,Inua,2,2,0,0
61238,Inty,2,2,0,0
61239,Inra,2,2,0,0
61240,Inkie,2,2,0,0
61241,Inki,2,2,0,0
61242,Inken,2,2,0,0
61243,Inijs,2,2,0,0
61244,Inie,2,2,0,0
61245,Ingun,2,2,0,0
61246,Ingrun,2,2,0,0
61247,Ingriani,2,2,0,0
61248,Ingetraud,2,2,0,0
61249,Ingetje,2,2,0,0
61250,Ingelien,2,2,0,0
61251,Inge-Lore,2,2,0,0
61252,Ingalill,2,2,0,0
61253,Inea,2,2,0,0
61254,Indri,2,2,0,0
61255,Indrawatie,2,2,0,0
61256,Indiah,2,2,0,0
61257,Inanç,2,2,0,0
61258,Inah,2,2,0,0
61259,Inaïa,2,2,0,0
61260,Imzade,2,2,0,0
61261,Imogene,2,2,0,0
61262,Immanuelle,2,2,0,0
61263,Imig,2,2,0,0
61264,Imgarde,2,2,0,0
61265,Imelie,2,2,0,0
61266,Imein,2,2,0,0
61267,Imama,2,2,0,0
61268,Imali,2,2,0,0
61269,Ilyse,2,2,0,0
61270,Ilyona,2,2,0,0
61271,Ilve,2,2,0,0
61272,Iluka,2,2,0,0
61273,Iluana,2,2,0,0
61274,Ilsy,2,2,0,0
61275,Iloena,2,2,0,0
61276,Illke,2,2,0,0
61277,Ilkinay,2,2,0,0
61278,Ilkem,2,2,0,0
61279,Ilkan,2,2,0,0
61280,Iljfete,2,2,0,0
61281,Iljenne,2,2,0,0
61282,Ilizabete,2,2,0,0
61283,Ilien,2,2,0,0
61284,Ilicia,2,2,0,0
61285,Ilhama,2,2,0,0
61286,Ilge,2,2,0,0
61287,Ilaura,2,2,0,0
61288,Ilarya,2,2,0,0
61289,Ilanit,2,2,0,0
61290,Ilanie,2,2,0,0
61291,Ilanda,2,2,0,0
61292,Ilaila,2,2,0,0
61293,Iläyda,2,2,0,0
61294,Il,2,2,0,0
61295,Ikraan,2,2,0,0
61296,Iko,2,2,0,0
61297,Ikliman,2,2,0,0
61298,Ijvi,2,2,0,0
61299,Ijana,2,2,0,0
61300,Iida,2,2,0,0
61301,Ihsaan,2,2,0,0
61302,Igone,2,2,0,0
61303,Ignis,2,2,0,0
61304,Ifueko,2,2,0,0
61305,Iftikhar,2,2,0,0
61306,Ifeoluwa,2,2,0,0
61307,Ifagat,2,2,0,0
61308,Iewke,2,2,0,0
61309,Ietse,2,2,0,0
61310,Iesha,2,2,0,0
61311,Ienske,2,2,0,0
61312,Iendra,2,2,0,0
61313,Iele,2,2,0,0
61314,Idna,2,2,0,0
61315,Idiane,2,2,0,0
61316,Idi,2,2,0,0
61317,Idelien,2,2,0,0
61318,Ibrime,2,2,0,0
61319,Ibich,2,2,0,0
61320,Ibel,2,2,0,0
61321,Iarina,2,2,0,0
61322,Iany,2,2,0,0
61323,Iantha,2,2,0,0
61324,Hüveyda,2,2,0,0
61325,Hüriyet,2,2,0,0
61326,Hülyia,2,2,0,0
61327,Hyunsook,2,2,0,0
61328,Hypolita,2,2,0,0
61329,Hyeon,2,2,0,0
61330,Hydajete,2,2,0,0
61331,Husni,2,2,0,0
61332,Huliya,2,2,0,0
61333,Huirong,2,2,0,0
61334,Huiqin,2,2,0,0
61335,Huiming,2,2,0,0
61336,Huihong,2,2,0,0
61337,Huguet,2,2,0,0
61338,Hugonne,2,2,0,0
61339,Hudes,2,2,0,0
61340,Hsu,2,2,0,0
61341,Hsiao-ying,2,2,0,0
61342,Hra,2,2,0,0
61343,Houyem,2,2,0,0
61344,Hourria,2,2,0,0
61345,Hosneara,2,2,0,0
61346,Hosana,2,2,0,0
61347,Hosai,2,2,0,0
61348,Horti,2,2,0,0
61349,Horthense,2,2,0,0
61350,Hornice,2,2,0,0
61351,Hore,2,2,0,0
61352,Horaya,2,2,0,0
61353,Horanka,2,2,0,0
61354,Honorea,2,2,0,0
61355,Hongling,2,2,0,0
61356,Hongjie,2,2,0,0
61357,Honaida,2,2,0,0
61358,Holga,2,2,0,0
61359,Hok,2,2,0,0
61360,Hoeda,2,2,0,0
61361,Hlin,2,2,0,0
61362,Hlalya,2,2,0,0
61363,Hiolanda,2,2,0,0
61364,Hinse,2,2,0,0
61365,Hindrikje,2,2,0,0
61366,Hinderkien,2,2,0,0
61367,Hinata,2,2,0,0
61368,Himke,2,2,0,0
61369,Himani,2,2,0,0
61370,Hilya,2,2,0,0
61371,Hilonia,2,2,0,0
61372,Hillegonde,2,2,0,0
61373,Hillechiena,2,2,0,0
61374,Hilfrieda,2,2,0,0
61375,Hilduarda,2,2,0,0
61376,Hildegundis,2,2,0,0
61377,Hildegaard,2,2,0,0
61378,Hildeberte,2,2,0,0
61379,Hilde-Maria,2,2,0,0
61380,Hild,2,2,0,0
61381,Hicaz,2,2,0,0
61382,Hibba,2,2,0,0
61383,Hiacinta,2,2,0,0
61384,Hewan,2,2,0,0
61385,Hessy,2,2,0,0
61386,Hessel,2,2,0,0
61387,Heryse,2,2,0,0
61388,Hervéra,2,2,0,0
61389,Herte,2,2,0,0
61390,Herny,2,2,0,0
61391,Herminda,2,2,0,0
61392,Hermijn,2,2,0,0
61393,Hermandina,2,2,0,0
61394,Henu,2,2,0,0
61395,Henriët,2,2,0,0
61396,Hennah,2,2,0,0
61397,Henly,2,2,0,0
61398,Heni,2,2,0,0
61399,Hendrine,2,2,0,0
61400,Hendrike,2,2,0,0
61401,Hen,2,2,0,0
61402,Helmina,2,2,0,0
61403,Helinde,2,2,0,0
61404,Helida,2,2,0,0
61405,Helianna,2,2,0,0
61406,Helewise,2,2,0,0
61407,Helenna,2,2,0,0
61408,Helenka,2,2,0,0
61409,Heleentje,2,2,0,0
61410,Helay,2,2,0,0
61411,Helai,2,2,0,0
61412,Heinrike,2,2,0,0
61413,Heile,2,2,0,0
61414,Heijke,2,2,0,0
61415,Heiderike,2,2,0,0
61416,Heidelien,2,2,0,0
61417,Heer,2,2,0,0
61418,Heema,2,2,0,0
61419,Hedieh,2,2,0,0
61420,Hedie,2,2,0,0
61421,Hedel,2,2,0,0
61422,Hebba,2,2,0,0
61423,Hebat,2,2,0,0
61424,Hebah,2,2,0,0
61425,Heavenley,2,2,0,0
61426,Hazra,2,2,0,0
61427,Haziran,2,2,0,0
61428,Hayli,2,2,0,0
61429,Hayedeh,2,2,0,0
61430,Hawar,2,2,0,0
61431,Hawanatu,2,2,0,0
61432,Havze,2,2,0,0
61433,Havan,2,2,0,0
61434,Hattie,2,2,0,0
61435,Hatoun,2,2,0,0
61436,Hatida,2,2,0,0
61437,Hatema,2,2,0,0
61438,Hassan,2,2,0,0
61439,Hasniye,2,2,0,0
61440,Haske,2,2,0,0
61441,Haseke,2,2,0,0
61442,Hase,2,2,0,0
61443,Harshvi,2,2,0,0
61444,Harriett,2,2,0,0
61445,Harpal,2,2,0,0
61446,Harmanpreet,2,2,0,0
61447,Hargun,2,2,0,0
61448,Hardish,2,2,0,0
61449,Harbi,2,2,0,0
61450,Harbhajan,2,2,0,0
61451,Hansina,2,2,0,0
61452,Hansi,2,2,0,0
61453,Hanno,2,2,0,0
61454,Hanneloor,2,2,0,0
61455,Hannelise,2,2,0,0
61456,Hanneliese,2,2,0,0
61457,Hannelie,2,2,0,0
61458,Hannefloor,2,2,0,0
61459,Hanne-Loren,2,2,0,0
61460,Hanne-Lise,2,2,0,0
61461,Hannalie,2,2,0,0
61462,Hanlie,2,2,0,0
61463,Hank,2,2,0,0
61464,Haniye,2,2,0,0
61465,Hanit,2,2,0,0
61466,Hanimzade,2,2,0,0
61467,Hamira,2,2,0,0
61468,Hamidah,2,2,0,0
61469,Hamdia,2,2,0,0
61470,Halouma,2,2,0,0
61471,Halimah,2,2,0,0
61472,Halaleh,2,2,0,0
61473,Haknur,2,2,0,0
61474,Hakiye,2,2,0,0
61475,Hakika,2,2,0,0
61476,Haissi,2,2,0,0
61477,Haimanot,2,2,0,0
61478,Hailly,2,2,0,0
61479,Haili,2,2,0,0
61480,Haia,2,2,0,0
61481,Hagere,2,2,0,0
61482,Hadzere,2,2,0,0
61483,Hadrienna,2,2,0,0
61484,Hadoum,2,2,0,0
61485,Hadie,2,2,0,0
61486,Hadewijck,2,2,0,0
61487,Hadelijne,2,2,0,0
61488,Habtam,2,2,0,0
61489,Haana,2,2,0,0
61490,H'Lalia,2,2,0,0
61491,Hérène,2,2,0,0
61492,Hélène-Victoire,2,2,0,0
61493,Günseli,2,2,0,0
61494,Gülüsüm,2,2,0,0
61495,Gülünaz,2,2,0,0
61496,Gülyüz,2,2,0,0
61497,Gültevir,2,2,0,0
61498,Gülsevin,2,2,0,0
61499,Gülpasa,2,2,0,0
61500,Gülli,2,2,0,0
61501,Gülgül,2,2,0,0
61502,Gülcen,2,2,0,0
61503,Gülcehre,2,2,0,0
61504,Gülbiyaz,2,2,0,0
61505,Gülanur,2,2,0,0
61506,Görsev,2,2,0,0
61507,Gyzelle,2,2,0,0
61508,Gyulzade,2,2,0,0
61509,Gyullyu,2,2,0,0
61510,Gytte,2,2,0,0
61511,Gyanna,2,2,0,0
61512,Gwynneth,2,2,0,0
61513,Gwyn,2,2,0,0
61514,Gwiny,2,2,0,0
61515,Gwinnessa,2,2,0,0
61516,Gwin,2,2,0,0
61517,Gwijde,2,2,0,0
61518,Gwendolynne,2,2,0,0
61519,Gwendoliena,2,2,0,0
61520,Gwency,2,2,0,0
61521,Guuske,2,2,0,0
61522,Guus,2,2,0,0
61523,Guurtruida,2,2,0,0
61524,Guurtje,2,2,0,0
61525,Gurung,2,2,0,0
61526,Gurmeet,2,2,0,0
61527,Gurkirat,2,2,0,0
61528,Gunjan,2,2,0,0
61529,Gunilda,2,2,0,0
61530,Gulzade,2,2,0,0
61531,Gulustan,2,2,0,0
61532,Gulshat,2,2,0,0
61533,Gulsevim,2,2,0,0
61534,Gulseher,2,2,0,0
61535,Gulo,2,2,0,0
61536,Gulma,2,2,0,0
61537,Guillia,2,2,0,0
61538,Guillaumaine,2,2,0,0
61539,Guilielmine,2,2,0,0
61540,Guilielmina,2,2,0,0
61541,Guilberte,2,2,0,0
61542,Guikje,2,2,0,0
61543,Guicely,2,2,0,0
61544,Guiana,2,2,0,0
61545,Gudrid,2,2,0,0
61546,Guda,2,2,0,0
61547,Guangling,2,2,0,0
61548,Guanaëlle,2,2,0,0
61549,Gu,2,2,0,0
61550,Grisula,2,2,0,0
61551,Grishma,2,2,0,0
61552,Grisella,2,2,0,0
61553,Grimhilde,2,2,0,0
61554,Griffin,2,2,0,0
61555,Grietjen,2,2,0,0
61556,Grieta,2,2,0,0
61557,Griele,2,2,0,0
61558,Gretske,2,2,0,0
61559,Gretli,2,2,0,0
61560,Gregorie,2,2,0,0
61561,Greda,2,2,0,0
61562,Grazinka,2,2,0,0
61563,Grayson,2,2,0,0
61564,Gratiella,2,2,0,0
61565,Grandine,2,2,0,0
61566,Grandina,2,2,0,0
61567,Gracey,2,2,0,0
61568,Gozel,2,2,0,0
61569,Goze,2,2,0,0
61570,Gouzal,2,2,0,0
61571,Gouri,2,2,0,0
61572,Goulizar,2,2,0,0
61573,Goulia,2,2,0,0
61574,Gossette,2,2,0,0
61575,Gosina,2,2,0,0
61576,Gosia,2,2,0,0
61577,Gosewina,2,2,0,0
61578,Gosette,2,2,0,0
61579,Gorgonie,2,2,0,0
61580,Gopi,2,2,0,0
61581,Gonie,2,2,0,0
61582,Gondina,2,2,0,0
61583,Gonde,2,2,0,0
61584,Goma,2,2,0,0
61585,Golnaz,2,2,0,0
61586,Golde,2,2,0,0
61587,Gokcen,2,2,0,0
61588,Goindamah,2,2,0,0
61589,Goharig,2,2,0,0
61590,Goelle,2,2,0,0
61591,Goedle,2,2,0,0
61592,Goedelieve,2,2,0,0
61593,Goede,2,2,0,0
61594,Godiva,2,2,0,0
61595,Godi,2,2,0,0
61596,Godewina,2,2,0,0
61597,Godette,2,2,0,0
61598,Godelieve-Maria,2,2,0,0
61599,Godelena,2,2,0,0
61600,Glinis,2,2,0,0
61601,Gliceria,2,2,0,0
61602,Glenis,2,2,0,0
61603,Glency,2,2,0,0
61604,Gladies,2,2,0,0
61605,Gjyla,2,2,0,0
61606,Gjulseren,2,2,0,0
61607,Gjuldan,2,2,0,0
61608,Gjulbear,2,2,0,0
61609,Gjevahir,2,2,0,0
61610,Gizzy,2,2,0,0
61611,Gizy,2,2,0,0
61612,Gizlane,2,2,0,0
61613,Gizen,2,2,0,0
61614,Gislinda,2,2,0,0
61615,Giske,2,2,0,0
61616,Giselia,2,2,0,0
61617,Giselene,2,2,0,0
61618,Gise,2,2,0,0
61619,Gisana,2,2,0,0
61620,Girbe,2,2,0,0
61621,Ginthe,2,2,0,0
61622,Gina-Lisa,2,2,0,0
61623,Gilva,2,2,0,0
61624,Gillis,2,2,0,0
61625,Gilena,2,2,0,0
61626,Gilbertine,2,2,0,0
61627,Gijske,2,2,0,0
61628,Gijsje,2,2,0,0
61629,Gieslinde,2,2,0,0
61630,Giese,2,2,0,0
61631,Giene,2,2,0,0
61632,Gielle,2,2,0,0
61633,Giel,2,2,0,0
61634,Giddy,2,2,0,0
61635,Giaura,2,2,0,0
61636,Giara,2,2,0,0
61637,Gianini,2,2,0,0
61638,Gi,2,2,0,0
61639,Ghysele,2,2,0,0
61640,Ghilberta,2,2,0,0
61641,Ghech,2,2,0,0
61642,Ghazwa,2,2,0,0
61643,Ghana,2,2,0,0
61644,Gerwinde,2,2,0,0
61645,Gertruud,2,2,0,0
61646,Gertrui,2,2,0,0
61647,Gertra,2,2,0,0
61648,Gertjie,2,2,0,0
61649,Gerri,2,2,0,0
61650,Gerreta,2,2,0,0
61651,Germien,2,2,0,0
61652,Gerline,2,2,0,0
61653,Gerlindis,2,2,0,0
61654,Gerlaine,2,2,0,0
61655,Gerita,2,2,0,0
61656,Geresine,2,2,0,0
61657,Gerdinne,2,2,0,0
61658,Gera,2,2,0,0
61659,Geovania,2,2,0,0
61660,Georgeana,2,2,0,0
61661,Georgé,2,2,0,0
61662,Geok,2,2,0,0
61663,Geo,2,2,0,0
61664,Genya,2,2,0,0
61665,Gentilly,2,2,0,0
61666,Gentila,2,2,0,0
61667,Genetta,2,2,0,0
61668,Genèse,2,2,0,0
61669,Gemmy,2,2,0,0
61670,Gemmalyn,2,2,0,0
61671,Gemi,2,2,0,0
61672,Gelke,2,2,0,0
61673,Gelila,2,2,0,0
61674,Gelika,2,2,0,0
61675,Gelien,2,2,0,0
61676,Geja,2,2,0,0
61677,Geisja,2,2,0,0
61678,Gehane,2,2,0,0
61679,Geghetsik,2,2,0,0
61680,Geessiena,2,2,0,0
61681,Geertruy,2,2,0,0
61682,Geertruij,2,2,0,0
61683,Geertrudis,2,2,0,0
61684,Geenia,2,2,0,0
61685,Gee,2,2,0,0
61686,Gebbe,2,2,0,0
61687,Gayna,2,2,0,0
61688,Gayenur,2,2,0,0
61689,Gaula,2,2,0,0
61690,Gaukhar,2,2,0,0
61691,Gaugerica,2,2,0,0
61692,Garina,2,2,0,0
61693,Gardine,2,2,0,0
61694,Gan,2,2,0,0
61695,Gami,2,2,0,0
61696,Gamay,2,2,0,0
61697,Gaitana,2,2,0,0
61698,Gaida,2,2,0,0
61699,Gaely,2,2,0,0
61700,Gadiga,2,2,0,0
61701,Gaëthane,2,2,0,0
61702,Gaëta,2,2,0,0
61703,Gëzime,2,2,0,0
61704,Géline,2,2,0,0
61705,Fynne,2,2,0,0
61706,Fyllis,2,2,0,0
61707,Fybe,2,2,0,0
61708,Fuhua,2,2,0,0
61709,Fruma,2,2,0,0
61710,Frozan,2,2,0,0
61711,Frouwkje,2,2,0,0
61712,Frouwe,2,2,0,0
61713,Froke,2,2,0,0
61714,Fro,2,2,0,0
61715,Fritzie,2,2,0,0
61716,Frieske,2,2,0,0
61717,Friele,2,2,0,0
61718,Friedle,2,2,0,0
61719,Friederieke,2,2,0,0
61720,Freyke,2,2,0,0
61721,Freweini,2,2,0,0
61722,Frenzy,2,2,0,0
61723,Frencis,2,2,0,0
61724,Freiya,2,2,0,0
61725,Freidy,2,2,0,0
61726,Fredy,2,2,0,0
61727,Fredelinde,2,2,0,0
61728,Fredelien,2,2,0,0
61729,Freddy,2,2,0,0
61730,Freba,2,2,0,0
61731,Frauwe,2,2,0,0
61732,Fransinne,2,2,0,0
61733,Franciscus,2,2,0,0
61734,Francisca-Maria,2,2,0,0
61735,Francinete,2,2,0,0
61736,Francijn,2,2,0,0
61737,Franciena,2,2,0,0
61738,Franciele,2,2,0,0
61739,Franchine,2,2,0,0
61740,Franchi,2,2,0,0
61741,Framke,2,2,0,0
61742,Fradi,2,2,0,0
61743,Fraa,2,2,0,0
61744,Frédoline,2,2,0,0
61745,Fove,2,2,0,0
61746,Foudia,2,2,0,0
61747,Foon,2,2,0,0
61748,Fonda,2,2,0,0
61749,Foluke,2,2,0,0
61750,Fodul,2,2,0,0
61751,Fobe,2,2,0,0
61752,Flyn,2,2,0,0
61753,Florry,2,2,0,0
61754,Florrie,2,2,0,0
61755,Florke,2,2,0,0
61756,Florin,2,2,0,0
