Column,unique_id_query,visit_id,unique_id_match,wikipedia_link_nl,google_book_query,nom_complet,toponymName,fclName,commune,province,region,country,query_normalised,queries_ngrams,MATCH,equality_match_extract_geonames,types_Anne,equality_anne_ettore,nom_complet?,nom_complet_ailleurs?,types_Ettore,queries
213,15312-1131530,1131530,15312-1131530-court-au-bois,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""court-au-bois""~5","https://www.googleapis.com/books/v1/volumes?q=""court-au-bois""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Coron du bois,Section,Saint-Ghislain,Hainaut Province,Wallonia,Belgium,court-au-bois,1,court-au-bois,,loc,true,,,loc,court-au-bois
214,15330-1131718,1131718,15330-1131718-berchem,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""berchem""~5","https://www.googleapis.com/books/v1/volumes?q=""berchem""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Berchem,Section,Antwerpen,Antwerpen,Flanders,Belgium,berchem,1,berchem,true,loc,true,,,loc,berchem
215,15429-1134066,1134066,,,,,,,,,,,ferme mod,2,,,,,,,,ferme mod
216,15591-1138580,1138580,15591-1138580-schrauwen,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""schrauwen""~5","https://www.googleapis.com/books/v1/volumes?q=""schrauwen""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,schrauwen,1,schrauwen,,per,true,false,,per,schrauwen
217,15645-1140395,1140395,,,,,,,,,,,verminkte soldaten,2,,,,,,,,verminkte soldaten
218,15652-1140730,1140730,,,,,,,,,,,o-jib-bewas,1,,,,,,,,o-jib-bewas
219,15705-1142398,1142398,15705-1142398-verhaest,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""verhaest""~5","https://www.googleapis.com/books/v1/volumes?q=""verhaest""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,verhaest,1,verhaest,,per,true,false,,per,verhaest
220,15745-1143981,1143981,15745-1143981-stievenard,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""stievenard""~5","https://www.googleapis.com/books/v1/volumes?q=""stievenard""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,stievenard,1,stievenard,,per,true,false,,per,stievenard
221,15813-1145761,1145761,,,,,,,,,,,oblats,1,,,,,,,,oblats
222,15833-1146499,1146499,,,,,,,,,,,école commerciale et consulaire,4,,,,,,,,école commerciale et consulaire
223,15932-1149409,1149409,,,,,,,,,,,verminkte,1,,,,,,,,verminkte
224,15983-1150744,1150744,15983-1150744-la hestre,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""de hestre la ligue ouvriere""~5","https://www.googleapis.com/books/v1/volumes?q=""ligue+ouvri%C3%A8re+de+la+hestre""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,La Hestre,Section,Manage,Hainaut Province,Wallonia,Belgium,ligue ouvrière de la hestre,5,la hestre,true,loc,true,false,false,loc,ligue ouvrière de la hestre
225,16042-1152793,1152793,16042-1152793-lappeman,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""lappeman""~5","https://www.googleapis.com/books/v1/volumes?q=""lappeman""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,lappeman,1,lappeman,,per,true,false,,per,lappeman
226,16206-1156928,1156928,,,,,,,,,,,enterrée,1,,,,,,,,enterrée
227,16356-1160951,1160951,16356-1160951-malpertuis,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""malpertuisautomobile-club""~5","https://www.googleapis.com/books/v1/volumes?q=""malpertuisautomobile-club""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,Netherlands,malpertuisautomobile-club,1,malpertuis,,loc,true,,,loc,malpertuisautomobile-club
228,16385-1161576,1161576,16385-1161576-levison,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""levison""~5","https://www.googleapis.com/books/v1/volumes?q=""levison""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,levison,1,levison,,per,true,false,,per,levison
229,16434-1162069,1162069,16434-1162069-michaux,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""michaux platteborse""~5","https://www.googleapis.com/books/v1/volumes?q=""michaux+platteborse""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,michaux platteborse,2,michaux,,per,true,false,,per,michaux platteborse
230,16434-1162069,1162069,16434-1162069-platteborse,,,false,,,,,,,michaux platteborse,2,platteborse,,per,true,false,,per,michaux platteborse
231,16480-1163138,1163138,16480-1163138-becker,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""becker veuve""~5","https://www.googleapis.com/books/v1/volumes?q=""veuve+becker""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,veuve becker,2,becker,,per,true,false,,per,veuve becker
232,16565-1166266,1166266,,,,,,,,,,,ronde vlaanderen,2,,,,,,,,ronde vlaanderen
233,16583-1167185,1167185,16583-1167185-valcourt,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""valcourt""~5","https://www.googleapis.com/books/v1/volumes?q=""valcourt""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,valcourt,1,valcourt,,per_loc,true,false,,per_loc,valcourt
234,16720-1171616,1171616,16720-1171616-canter,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""canter""~5","https://www.googleapis.com/books/v1/volumes?q=""canter""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,canter,1,canter,,per,true,false,,per,canter
235,16728-1171723,1171723,16728-1171723-brasserie ziane,,,,,POI,,,,Belgium,brasserie ziane,2,brasserie ziane,,loc,true,false,false,loc,brasserie ziane
236,16739-1172025,1172025,16739-1172025-ewald,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""ewald quintette""~5","https://www.googleapis.com/books/v1/volumes?q=""quintette+ewald""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,quintette ewald,2,ewald,,per,true,false,,per,quintette ewald
237,16792-1173900,1173900,16792-1173900-gleich,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""cirque gleich""~5","https://www.googleapis.com/books/v1/volumes?q=""cirque+gleich""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,cirque gleich,2,gleich,,per,true,false,,per,cirque gleich
238,17002-1179819,1179819,17002-1179819-leopold deurne,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""boer deurne leopold""~5","https://www.googleapis.com/books/v1/volumes?q=""leopold+deurne+boer""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,leopold deurne boer,3,leopold deurne,,per,false,true,,per_loc,leopold deurne boer
239,17390-1197727,1197727,17390-1197727-poepaert,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""poepaert""~5","https://www.googleapis.com/books/v1/volumes?q=""poepaert""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,poepaert,1,poepaert,,per_ambig,false,false,,per,poepaert
240,17444-1199430,1199430,,,,,,,,,,,fascisme,1,,,,,,,,fascisme
241,17446-1199515,1199515,17446-1199515-alphonse druart,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""alphonse druart""~5","https://www.googleapis.com/books/v1/volumes?q=""alphonse+druart""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,alphonse druart,2,alphonse druart,,per,true,true,,per,alphonse druart
242,17510-1201421,1201421,17510-1201421-champy,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""champy""~5","https://www.googleapis.com/books/v1/volumes?q=""champy""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,champy,1,champy,,per,true,false,,per,champy
243,17819-1210638,1210638,,,,,,,,,,,lucht modern dorp,3,,,,,,,,lucht modern dorp
244,17994-1215903,1215903,17994-1215903-hygiea,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""hygiea""~5","https://www.googleapis.com/books/v1/volumes?q=""hygiea""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,hygiea,1,hygiea,,ambig,true,,,ambig,hygiea
245,18011-1216504,1216504,18011-1216504-deinze,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""deinze""~5","https://www.googleapis.com/books/v1/volumes?q=""deinze""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Deinze,Commune,Deinze,East Flanders Province,Flanders,Belgium,deinze,1,deinze,,per_loc,false,false,,loc,deinze
246,18104-1220034,1220034,18104-1220034-dominique navez,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dominique navez""~5","https://www.googleapis.com/books/v1/volumes?q=""dominique+navez""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,dominique navez,2,dominique navez,,per,true,true,,per,dominique navez
247,18417-1228308,1228308,18417-1228308-karel,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""karel wijnendaele""~5","https://www.googleapis.com/books/v1/volumes?q=""karel+wijnendaele""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,karel wijnendaele,2,karel,,per,true,false,,per,karel wijnendaele
248,18417-1228308,1228308,18417-1228308-wijnendaele,,,,,Section,,,,Belgium,karel wijnendaele,2,wijnendaele,,loc,true,,,loc,karel wijnendaele
249,18535-1231644,1231644,,,,,,,,,,,vlieger,1,,,,,,,,vlieger
250,18586-1233494,1233494,18586-1233494-theatre delaux,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""delaux theatre""~5","https://www.googleapis.com/books/v1/volumes?q=""theatre+delaux""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,POI,,,,Belgium,theatre delaux,2,theatre delaux,,loc,true,,false,loc,theatre delaux
251,18666-1235525,1235525,18666-1235525-ahlenius,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""ahlenius""~5","https://www.googleapis.com/books/v1/volumes?q=""ahlenius""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,ahlenius,1,ahlenius,,per,true,false,,per,ahlenius
252,18863-1241412,1241412,18863-1241412-aalter,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""aalter loveld""~5","https://www.googleapis.com/books/v1/volumes?q=""aalter+loveld""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Aalter,Commune,Aalter,East Flanders Province,Flanders,Belgium,aalter loveld,2,aalter,false,loc,true,,,loc,aalter loveld
253,18863-1241412,1241412,18863-1241412-loveld,,,,,,,,,,aalter loveld,2,loveld,,per,false,false,,per_ambig,aalter loveld
254,18954-1243883,1243883,,,,,,,,,,,grand cinema gillois,3,,,per,,false,,,grand cinema gillois
255,18985-1244239,1244239,18985-1244239-van thillo,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""thillo van""~5","https://www.googleapis.com/books/v1/volumes?q=""van+thillo""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,van thillo,2,van thillo,,per,true,false,false,per,van thillo
256,19009-1245175,1245175,19009-1245175-aalter,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""aalter""~5","https://www.googleapis.com/books/v1/volumes?q=""aalter""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Aalter,Commune,Aalter,East Flanders Province,Flanders,Belgium,aalter,1,aalter,true,loc,true,,,loc,aalter
257,19055-1246664,1246664,19055-1246664-soltau,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""soltau""~5","https://www.googleapis.com/books/v1/volumes?q=""soltau""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,Germany,soltau,1,soltau,,loc,true,,,loc,soltau
258,19063-1247019,1247019,19063-1247019-lurkin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""lurkin""~5","https://www.googleapis.com/books/v1/volumes?q=""lurkin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,lurkin,1,lurkin,,per,true,false,,per,lurkin
259,19121-1248675,1248675,19121-1248675-ostlund,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""ostlund""~5","https://www.googleapis.com/books/v1/volumes?q=""ostlund""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,ostlund,1,ostlund,,per,true,false,,per,ostlund
260,19190-1250518,1250518,,,,,,,,,,,cinéma familles,2,,,,,,,,cinéma familles
261,19232-1251836,1251836,19232-1251836-gentbrugge,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gentbrugge""~5","https://www.googleapis.com/books/v1/volumes?q=""gentbrugge""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Gentbrugge,Section,Gent,East Flanders Province,Flanders,Belgium,gentbrugge,1,gentbrugge,true,loc,true,,,loc,gentbrugge
262,19335-1254454,1254454,,,,,,,,,,,presse jeunesse impact,3,,,,,,,,presse jeunesse impact
263,19395-1255390,1255390,,,,,,,,,,,opera,1,,,,,,,,opera
264,19596-1261058,1261058,,,,,,,,,,,vliegen,1,,,,,,,,vliegen
265,19613-1261188,1261188,19613-1261188-evola,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""evola""~5","https://www.googleapis.com/books/v1/volumes?q=""evola""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,evola,1,evola,,per,true,false,,per,evola
266,19656-1263094,1263094,19656-1263094-hubert collin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""collin hubert""~5","https://www.googleapis.com/books/v1/volumes?q=""hubert+collin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,hubert collin,2,hubert collin,,per,true,true,,per,hubert collin
267,19717-1263979,1263979,19717-1263979-licot,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""licot""~5","https://www.googleapis.com/books/v1/volumes?q=""licot""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,licot,1,licot,,ambig,true,,,ambig,licot
268,19857-1267359,1267359,19857-1267359-luyten,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""luyten""~5","https://www.googleapis.com/books/v1/volumes?q=""luyten""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,luyten,1,luyten,,per,true,false,,per,luyten
269,19919-1270521,1270521,19919-1270521-boma,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""boma mort suedois""~5","https://www.googleapis.com/books/v1/volumes?q=""mort+su%C3%A9dois+boma""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,Democratic Republic of the Congo,mort suédois boma,3,boma,,loc,true,,,loc,mort suédois boma
270,19939-1271085,1271085,,,,,,,,,,,au lion d,3,,,,,,,,au lion d
271,20166-1281660,1281660,,,,,,,,,,,worstelen,1,,,,,,,,worstelen
272,20311-1284536,1284536,,,,,,,,,,,il y a queue,4,,,,,false,false,,il y a queue
273,20316-1284536,1284536,20316-1284536-la scala,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""de la le marcheur scala vieux""~5","https://www.googleapis.com/books/v1/volumes?q=""le+vieux+marcheur+de+la+scala""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,Italy,le vieux marcheur de la scala,6,la scala,,loc,true,false,false,loc,le vieux marcheur de la scala
274,20535-1289945,1289945,,,,,,,,,,,rovien,1,,,,true,,,,rovien
275,20641-1294080,1294080,20641-1294080-assenede,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""assenede""~5","https://www.googleapis.com/books/v1/volumes?q=""assenede""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Assenede,Commune,Assenede,East Flanders Province,Flanders,Belgium,assenede,1,assenede,true,loc,true,,,loc,assenede
276,20732-1297716,1297716,20732-1297716-moorslede,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""moorslede ronde velodroom""~5","https://www.googleapis.com/books/v1/volumes?q=""velodroom+moorslede+ronde""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Moorslede,Commune,Moorslede,West Flanders Province,Flanders,Belgium,velodroom moorslede ronde,3,moorslede,true,loc,true,,,loc,velodroom moorslede ronde
277,20737-1297964,1297964,20737-1297964-lodewijk van biesbroeck,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""biesbroeck lodewijk van""~5","https://www.googleapis.com/books/v1/volumes?q=""lodewijk+van+biesbroeck""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,lodewijk van biesbroeck,3,lodewijk van biesbroeck,,per,true,true,,per,lodewijk van biesbroeck
278,20746-1298342,1298342,,,,,,,,,,,myster,1,,,,,,,,myster
279,20848-1309589,1309589,,,,,,,,,,,drinkbak honden,2,,,,,,,,drinkbak honden
280,20896-1310416,1310416,20896-1310416-auguste marie léon bogaert,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""auguste bogaert leon marie""~5","https://www.googleapis.com/books/v1/volumes?q=""auguste+marie+l%C3%A9on+bogaert""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,auguste marie léon bogaert,4,auguste marie léon bogaert,,per,true,true,,per,auguste marie léon bogaert
281,20901-1310493,1310493,20901-1310493-hultberg,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""hultberg""~5","https://www.googleapis.com/books/v1/volumes?q=""hultberg""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,hultberg,1,hultberg,,per,true,false,,per,hultberg
282,21013-1313909,1313909,21013-1313909-van den eynden,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""den eynden van""~5","https://www.googleapis.com/books/v1/volumes?q=""van+den+eynden""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,van den eynden,3,van den eynden,,per,true,false,false,per,van den eynden
283,21146-1317304,1317304,21146-1317304-karlstrom,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""congo karlstrom""~5","https://www.googleapis.com/books/v1/volumes?q=""karlstrom%2C+congo""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,"karlstrom, congo",2,karlstrom,,per,true,false,,per,"karlstrom, congo"
284,21146-1317304,1317304,21146-1317304-congo,,,,,,,,,Democratic Republic of the Congo,"karlstrom, congo",2,congo,,loc,true,,,loc,"karlstrom, congo"
285,21203-1318517,1318517,21203-1318517-leuvenvolksplein,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""leuvenvolksplein""~5","https://www.googleapis.com/books/v1/volumes?q=""leuvenvolksplein""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,POI,Leuven,Vlaams Brabant,Flanders,Belgium,leuvenvolksplein,1,leuvenvolksplein,,loc,true,,,loc,leuvenvolksplein
286,21468-1328125,1328125,21468-1328125-fleurus,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""fleurus""~5","https://www.googleapis.com/books/v1/volumes?q=""fleurus""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Fleurus,Commune,Fleurus,Hainaut Province,Wallonia,Belgium,fleurus,1,fleurus,true,loc,true,,,loc,fleurus
287,21479-1328327,1328327,21479-1328327-rhodes,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""chamberlain rhodes""~5","https://www.googleapis.com/books/v1/volumes?q=""rhodes+chamberlain""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,Greece,rhodes chamberlain,2,rhodes,,loc,true,,,loc,rhodes chamberlain
288,21479-1328327,1328327,21479-1328327-chamberlain,,,false,,,,,,,rhodes chamberlain,2,chamberlain,,per,true,false,,per,rhodes chamberlain
289,21503-1328992,1328992,21503-1328992-saint-pol-roux,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""saint-pol-roux""~5","https://www.googleapis.com/books/v1/volumes?q=""saint-pol-roux""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,saint-pol-roux,1,saint-pol-roux,,per,true,false,,per,saint-pol-roux
290,21814-1341798,1341798,,,,,,,,,,,la sécheresse anormale que nous avons subie,7,,,,,,,,la sécheresse anormale que nous avons subie
291,21829-1342011,1342011,,,,,,,,,,,stadsnieuws,1,,,,,,,,stadsnieuws
292,21939-1345799,1345799,21939-1345799-margate,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""margate""~5","https://www.googleapis.com/books/v1/volumes?q=""margate""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,,,,,,United Kingdom,margate,1,margate,,loc,true,,,loc,margate
293,21969-1347759,1347759,21969-1347759-rumst,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""dijle rumst""~5","https://www.googleapis.com/books/v1/volumes?q=""rumst+dijle""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Rumst,Commune,Rumst,Antwerpen,Flanders,Belgium,rumst dijle,2,rumst,true,loc,true,,,loc,rumst dijle
294,21969-1347759,1347759,21969-1347759-dijle,,,,,River,,,,Belgium,rumst dijle,2,dijle,false,loc,true,,,loc,rumst dijle
295,21987-1349056,1349056,21987-1349056-wallius,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""wallius""~5","https://www.googleapis.com/books/v1/volumes?q=""wallius""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,wallius,1,wallius,,per,true,false,,per,wallius
296,22071-1352443,1352443,,,,,,,,,,,zoölogisch,1,,,,,,,,zoölogisch
297,22102-1354624,1354624,22102-1354624-berthem,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""berthem""~5","https://www.googleapis.com/books/v1/volumes?q=""berthem""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",,Bertem,Commune,Bertem,Flemish Brabant Province,Flanders,Belgium,berthem,1,berthem,true,loc,true,,,loc,berthem
298,22154-1356685,1356685,22154-1356685-bourquin,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""bourquin""~5","https://www.googleapis.com/books/v1/volumes?q=""bourquin""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,bourquin,1,bourquin,,per,true,false,,per,bourquin
299,22179-1357490,1357490,22179-1357490-de smet,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""de serskamp smet""~5","https://www.googleapis.com/books/v1/volumes?q=""de+smet+serskamp""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,de smet serskamp,3,de smet,,per,true,false,false,per,de smet serskamp
300,22179-1357490,1357490,22179-1357490-serskamp,,,,,Section,,,,Belgium,de smet serskamp,3,serskamp,true,loc,true,,,loc,de smet serskamp
301,22278-1360963,1360963,22278-1360963-auguste joly,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""auguste joly""~5","https://www.googleapis.com/books/v1/volumes?q=""auguste+joly""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",true,,,,,,,auguste joly,2,auguste joly,,per,true,true,,per,auguste joly
302,22461-1370542,1370542,22461-1370542-gheeraerdts,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""gheeraerdts""~5","https://www.googleapis.com/books/v1/volumes?q=""gheeraerdts""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,,gheeraerdts,1,gheeraerdts,,per,true,false,,per,gheeraerdts
303,22839-1384342,1384342,22839-1384342-tombek,"https://nl.wikipedia.org/w/index.php?title=Special:Search&cirrusDumpResult=&cirrusExplain=&search=""tombek""~5","https://www.googleapis.com/books/v1/volumes?q=""tombek""&country=BE&key=AIzaSyB29H1EJ9w9M11-b4oZrJg6SOXooeu394w",false,,,,,,?,tombek,1,tombek,,loc,false,,,per_ambig,tombek
